FirstLastName,ListofAlexIds,Team,ReferencedIndividuals
Donald Rio,A5034073565,Rio,"['Frank Soldner', 'Vikram Khurana', 'Pietro Camilli', 'Lorenz Studer', 'Dario Alessi', 'Frank Soldner', 'John Hardy', 'Fritz Sedlazeck', 'Frank Soldner', 'Suzanne Pfeffer', 'Frank Soldner', 'Suzanne Pfeffer']"
Maria Spillantini,A5037609259,Hardy,"['Anthony Schapira', 'Peter Vangheluwe', 'Hélène Plun‐Favreau', 'Huw Morris', 'Brit Mollenhauer', 'John Hardy']"
F. Hartl,A5086048712,Harper,"['F. Hartl', 'Brenda Schulman', 'F. Hartl', 'Rubén Fernández‐Busnadiego', 'Rubén Fernández‐Busnadiego', 'F. Hartl']"
Michele Vendruscolo,A5038452125,Wood,"['Steven Lee', 'Mina Ryten', 'Sonia Gandhi', 'Michele Vendruscolo']"
Brenda Schulman,A5023564164,Harper,"['J. Harper', 'Brenda Schulman', 'James Hurley', 'Miratul Muqit', 'J. Harper', 'J. Harper']"
Judith Frydman,A5041204065,Harper,['J. Harper']
Erika Holzbaur,A5075390520,Hurley,"['Suzanne Pfeffer', 'Dario Alessi', 'James Hurley', 'Erika Holzbaur', 'J. Harper', 'Erika Holzbaur', 'Dario Alessi', 'Suzanne Pfeffer', 'Erika Holzbaur', 'Suzanne Pfeffer', 'Sascha Martens', 'Miratul Muqit', 'Michael Lazarou', 'James Hurley', 'Erika Holzbaur', 'Miratul Muqit', 'James Hurley']"
Sascha Martens,A5029002091,Hurley,"['J. Harper', 'James Hurley', 'J. Harper', 'James Hurley', 'Erika Holzbaur', 'J. Harper', 'Erika Holzbaur', 'Miratul Muqit', 'J. Harper', 'Sascha Martens', 'Michael Lazarou', 'James Hurley', 'Brenda Schulman', 'James Hurley', 'J. Harper', 'Sascha Martens', 'Michael Lazarou']"
Michael Lazarou,A5061877082,Hurley,"['James Hurley', 'J. Harper', 'J. Harper', 'James Hurley', 'Erika Holzbaur', 'Miratul Muqit', 'J. Harper', 'Sascha Martens', 'Michael Lazarou', 'Suzanne Pfeffer', 'Sascha Martens', 'Miratul Muqit', 'Michael Lazarou', 'James Hurley', 'Sascha Martens', 'James Hurley', 'Miratul Muqit', 'Michael Lazarou', 'Sascha Martens', 'James Hurley', 'Miratul Muqit', 'Michael Lazarou', 'James Hurley', 'J. Harper', 'Sascha Martens', 'Michael Lazarou', 'J. Harper', 'Pietro Camilli', 'Erika Holzbaur', 'Michael Lazarou']"
James Hurley,A5061450716,Hurley,"['Suzanne Pfeffer', 'Sascha Martens', 'Miratul Muqit', 'Michael Lazarou', 'James Hurley', 'Brenda Schulman', 'James Hurley', 'James Hurley', 'Sascha Martens', 'James Hurley', 'Miratul Muqit', 'Michael Lazarou', 'Sascha Martens', 'James Hurley', 'Miratul Muqit', 'Michael Lazarou', 'Miratul Muqit', 'James Hurley', 'James Hurley', 'J. Harper', 'Sascha Martens', 'Michael Lazarou']"
Molly Hammell,A5032075946,Jakobsson,[]
Roberta Marongiu,A5000487408,Kaplitt,[]
Ted Dawson,A5021759485,Kaplitt,"['Amy Amara', 'Anthony Schapira', 'Subhojit Roy', 'Sonia Gandhi', 'D. Surmeier']"
Per Svenningsson,A5036364090,Kaplitt,"['Amy Amara', 'Anthony Schapira', 'Subhojit Roy']"
Deniz Kirik,A5083016310,Kirik,[]
Clare Parish,A5044118193,Kirik,[]
Lachlan Thompson,A5067345526,Kirik,[]
Jeffrey Kordower,A5074765508,Kordower,"['Donato Monte', 'Michael Lee', 'Subhojit Roy']"
Warren Hirst,A5020699970,Kordower,['Michael Lee']
