FirstLastName,ListofAlexIds,Team,ReferencedIndividuals
Roberta Marongiu,A5000487408,Team Kaplitt,[]
Ted Dawson,A5021759485,Team Kaplitt,"['Amy Amara', 'Anthony Schapira', 'D. Surmeier', 'Sonia Gandhi', 'Subhojit Roy']"
Per Svenningsson,A5036364090,Team Kaplitt,"['Amy Amara', 'Anthony Schapira', 'Subhojit Roy']"
Deniz Kirik,A5083016310,Team Kirik,[]
Clare Parish,A5044118193,Team Kirik,[]
Lachlan Thompson,A5067345526,Team Kirik,[]
Jeffrey Kordower,A5074765508,Team Kordower,"['Donato Monte', 'Michael Lee', 'Subhojit Roy']"
Warren Hirst,A5020699970,Team Kordower,['Michael Lee']
Ashley Harms,A5046016738,Team Kordower,"['Ashley Harms', 'David Sulzer', 'Haydeh Payami', 'Michael Lee']"
Ashley Harms,A5046016738,Team Sulzer,"['Ashley Harms', 'David Sulzer', 'Haydeh Payami', 'Michael Lee']"
Darren Moore,A5037205059,Team Lee,[]
Laura Niedernhofer,A5043039694,Team Lee,['Laura Niedernhofer']
Michael Lee,A5021234825,Team Lee,['Michael Lee']
Malú Tansey,A5008036209,Team Liddle,"['Ashley Harms', 'David Sulzer', 'Haydeh Payami', 'Mel Feany', 'Shawn Ferguson', 'Subhojit Roy']"
Timothy Sampson,A5058647225,Team Liddle,"['David Sulzer', 'Haydeh Payami', 'Sarkis Mazmanian', 'Sonia Gandhi']"
Haydeh Payami,A5055969440,Team Liddle,"['Haydeh Payami', 'Sarkis Mazmanian']"
Rodger Liddle,A5058874182,Team Liddle,['Brit Mollenhauer']
Steven Dowdy,A5048054072,Team Mobley,['Steven Dowdy']
Xiang‐Dong Fu,A5103144746,Team Mobley,[]
William Mobley,A5009879178,Team Mobley,['Su‐Chun Zhang']
Andres Leschziner,A5011173483,Team Reck-Peterson,"['Andres Leschziner', 'Dario Alessi', 'Pietro Camilli', 'Samara Reck‐Peterson']"
Samara Reck‐Peterson,A5021023250,Team Reck-Peterson,"['Andres Leschziner', 'Dario Alessi', 'Samara Reck‐Peterson']"
Elizabeth Villa,A5087861735,Team Reck-Peterson,"['Andres Leschziner', 'Dario Alessi', 'Pietro Camilli', 'Samara Reck‐Peterson']"
Helen Bateup,A5089305536,Team Rio,"['Dario Alessi', 'Frank Soldner', 'Fritz Sedlazeck', 'John Hardy', 'Lorenz Studer', 'Pietro Camilli', 'Suzanne Pfeffer', 'Vikram Khurana']"
Dirk Hockemeyer,A5045835078,Team Rio,"['Dario Alessi', 'Frank Soldner', 'Fritz Sedlazeck', 'John Hardy', 'Lorenz Studer', 'Pietro Camilli', 'Suzanne Pfeffer', 'Vikram Khurana']"
Frank Soldner,A5070152031,Team Rio,"['Dario Alessi', 'Frank Soldner', 'Fritz Sedlazeck', 'John Hardy', 'Lorenz Studer', 'Pietro Camilli', 'Suzanne Pfeffer', 'Vikram Khurana']"
Christos Proukakis,A5012157016,Team Voet,"['Anthony Schapira', 'Fabio Blandini']"
Fabio Blandini,A5007019878,Team Schapira,['Anthony Schapira']
Michela Deleidi,A5056933907,Team Schapira,"['Michela Deleidi', 'Sonia Gandhi']"
Donato Monte,A5035849217,Team Schapira,"['Donato Monte', 'Michela Deleidi', 'Rodger Liddle', 'Sonia Gandhi']"
Mathieu Almeida,A5067904253,Team Schapira,"['Anthony Schapira', 'Haydeh Payami']"
Mel Feany,A5002571663,Team Scherzer,"['Hélène Plun‐Favreau', 'Jeffrey Kordower', 'Mel Feany', 'Mina Ryten', 'Vikram Khurana']"
Xianjun Dong,A5053690577,Team Scherzer,"['Clemens Scherzer', 'David Sulzer', 'Hélène Plun‐Favreau', 'Mel Feany']"
Su‐Chun Zhang,A5030394012,Team Scherzer,['Su‐Chun Zhang']
Vikram Khurana,A5055136563,Team Studer,"['Jeffrey Kordower', 'Lorenz Studer', 'Mina Ryten', 'Rubén Fernández‐Busnadiego', 'Vikram Khurana']"
Joshua Levin,A5024425176,Team Scherzer,[]
Michael Schlossmacher,A5000268173,Team Schlossmacher,"['Le Zhang', 'Maxime Rousseaux', 'Michael Schlossmacher']"
Maxime Rousseaux,A5054577159,Team Schlossmacher,"['Hong‐Yuan Chu', 'Le Zhang', 'Maxime Rousseaux']"
Benjamin Arenkiel,A5047948555,Team Schlossmacher,"['Le Zhang', 'Maxime Rousseaux']"
Christine Stadelmann,A5036052976,Team Schlossmacher,"['Le Zhang', 'Maxime Rousseaux']"
Lorenz Studer,A5065135570,Team Studer,"['Clemens Scherzer', 'Jeffrey Kordower', 'Lorenz Studer', 'Mina Ryten', 'Su‐Chun Zhang', 'Vikram Khurana']"
Helen Schwerdt,A5035254479,Team Strick,[]
William Stauffer,A5070330500,Team Strick,[]
Robert Turner,A5018445297,Team Strick,['Robert Turner']
Scott Grafton,A5082140726,Team Strick,['Hong‐Yuan Chu']
Hong‐Yuan Chu,A5073427053,Team Wichmann,"['Hong‐Yuan Chu', 'Maxime Rousseaux', 'Michael Henderson']"
Yoland Smith,A5051289855,Team Wichmann,['Hong‐Yuan Chu']
Thomas Wichmann,A5042569468,Team Wichmann,['Hong‐Yuan Chu']
Joseph Powell,A5063458641,Team Studer,"['Clemens Scherzer', 'Jeffrey Kordower', 'Mina Ryten', 'Vikram Khurana']"
Cecilia Arlehamn,A5066674783,Team Sulzer,['Alessandro Sette']
José Obeso,A5062838955,Team Vila,['D. Surmeier']
Rui Costa,A5060965799,Team Surmeier,[]
D. Surmeier,A5033742239,Team Surmeier,"['D. Surmeier', 'Sonia Gandhi']"
Jun Ding,A5070396294,Team Surmeier,['Jun Ding']
Yang Dan,A5036365985,Team Surmeier,[]
Ann Kennedy,A5071419759,Team Surmeier,['Ann Kennedy']
Peter Vangheluwe,A5008583951,Team Vangheluwe,"['Ellen Sidransky', 'Peter Vangheluwe', 'Pietro Camilli', 'Richard Wade‐Martins', 'Veerle Baekelandt']"
Veerle Baekelandt,A5081531120,Team Vangheluwe,"['Peter Vangheluwe', 'Richard Wade‐Martins', 'Veerle Baekelandt']"
Joel Blanchard,A5027087812,Team Vangheluwe,"['Joel Blanchard', 'Peter Vangheluwe', 'Richard Wade‐Martins']"
Joseph Lyons,A5086345439,Team Vangheluwe,"['Peter Vangheluwe', 'Veerle Baekelandt']"
Nicola Mercuri,A5082528797,Team Vila,[]
Miquel Vila,A5059189782,Team Vila,"['Miquel Vila', 'Xiqun Chen']"
Stein Aerts,A5002137087,Team Voet,['Stein Aerts']
Bernard Thienpont,A5081498592,Team Voet,[]
Thierry Voet,A5033632636,Team Voet,[]
Zane Jaunmuktane,A5063134863,Team Hardy,[]
Adriana Galván,A5056482545,Team Wichmann,[]
Steven Lee,A5061407972,Team Wood,['Steven Lee']
